Date,DAX_Return,SPX_Return,Extreme_SPX,Extreme_DAX
2020-03-16,-5.451679009465804,-12.765219747281742,True,True
2020-03-17,2.226727567118638,5.822631263569171,True,False
2020-03-18,-5.724997918466842,-5.322227233208024,True,True
2020-03-20,3.6324605834880646,-4.432762405336681,True,False
2020-03-24,10.414287423694867,8.968323251796326,True,True
2020-03-26,1.2749736945992256,6.054383107424656,True,False
2020-04-01,-4.015714116470213,-4.514636273278691,True,False
2020-04-06,5.60732649535235,6.796824414483035,True,True
2020-05-18,5.51802385635398,3.1015208770073426,False,True
2020-06-11,-4.571080087546507,-6.075269299628893,True,True
2020-09-21,-4.473379160177045,-1.1638564027297718,False,True
2020-10-28,-4.2595233654352604,-3.592554210857772,False,True
2020-11-09,4.817560046682204,1.1631974746344154,False,True
2022-03-04,-4.5083713794355305,-0.7965684543001903,False,True
2022-03-09,7.623189406906642,2.537359812214112,False,True
