Date,DAX,SPX,DAX_Return,SPX_Return
2017-06-22,12794.0,2434.5,0.15441205993827234,-0.04558859724380852
2017-06-23,12733.41015625,2438.300048828125,-0.47470508883750384,0.15596985554090975
2017-06-26,12770.830078125,2439.070068359375,0.29344099947529606,0.031575193973236125
2017-06-27,12671.01953125,2419.3798828125,-0.7846210905276773,-0.8105586575672906
2017-06-28,12647.26953125,2440.68994140625,-0.18761146859216782,0.8769501646551084
2017-06-29,12416.1904296875,2419.699951171875,-1.8440043777265436,-0.8637216844141349
2017-06-30,12325.1201171875,2423.409912109375,-0.7361835068166264,0.15320576108735331
2017-07-03,12475.3095703125,2429.010009765625,1.2111990887506368,0.23081679791475807
2017-07-05,12453.6796875,2432.5400390625,-0.17353201140014302,0.14522240362887007
2017-07-06,12381.25,2409.75,-0.5832905006474646,-0.9412987306866183
2017-07-07,12388.6796875,2425.179931640625,0.05998957458940206,0.6382712569615802
2017-07-10,12445.919921875,2427.429931640625,0.46097248706348626,0.09273361035125655
2017-07-11,12437.01953125,2425.530029296875,-0.07153809959909806,-0.07829870660821735
2017-07-12,12626.580078125,2443.25,1.5126650947935507,0.7279050947821435
2017-07-13,12641.330078125,2447.830078125,0.11674888492305271,0.1872829473473065
2017-07-14,12631.7197265625,2459.27001953125,-0.07605217494511131,0.4662616170009233
2017-07-17,12587.16015625,2459.139892578125,-0.3533829963189446,-0.005291423670686425
2017-07-18,12430.3896484375,2460.610107421875,-1.253300671793258,0.059767869811098745
2017-07-19,12452.0498046875,2473.830078125,0.1740999853486554,0.535825821605345
2017-07-20,12447.25,2473.449951171875,-0.038553732712193554,-0.015367108860704477
2017-07-21,12240.0595703125,2472.5400390625,-1.6785571050286048,-0.03679393292088825
2017-07-24,12208.9501953125,2469.909912109375,-0.2544838591619166,-0.10643009954088047
2017-07-25,12264.3095703125,2477.1298828125,0.4524078112312486,0.2918907519898033
2017-07-26,12305.1103515625,2477.830078125,0.3321268380389088,0.028262400611947947
2017-07-27,12212.0400390625,2475.419921875,-0.7592298296306895,-0.09731616373937137
2017-07-28,12162.7001953125,2472.10009765625,-0.40484461098015556,-0.13420156781160386
2017-07-31,12118.25,2470.300048828125,-0.3661326645841174,-0.07284108345598019
2017-08-01,12251.2900390625,2476.35009765625,1.0918659980258236,0.2446120774938466
2017-08-02,12181.48046875,2477.570068359375,-0.5714436703617212,0.04925274073474498
2017-08-03,12154.7197265625,2472.159912109375,-0.21992548350948252,-0.21860418349456703
2017-08-04,12297.7197265625,2476.830078125,1.169630788891491,0.18873214175395683
2017-08-07,12257.169921875,2480.909912109375,-0.33027915929817697,0.16458446442804672
2017-08-08,12292.0498046875,2474.919921875,0.28416305423847293,-0.2417352230385335
2017-08-09,12154.0,2474.02001953125,-1.129436234376661,-0.03636747927123762
2017-08-10,12014.2998046875,2438.2099609375,-1.1560742986308512,-1.458021840074153
2017-08-11,12014.0595703125,2441.320068359375,-0.001999590327904918,0.12747571279871367
2017-08-14,12165.1201171875,2465.840087890625,1.2495255361312876,0.9993651246049404
2017-08-15,12177.0400390625,2464.610107421875,0.09793644238013594,-0.049893232688349
2017-08-16,12263.8603515625,2468.110107421875,0.710454003709599,0.14190955233323715
2017-08-17,12203.4599609375,2430.010009765625,-0.4937239758872335,-1.5557342487191417
2017-08-18,12165.1904296875,2425.550048828125,-0.3140884874442211,-0.18370536613519936
2017-08-21,12065.990234375,2428.3701171875,-0.8187859344883976,0.11619757145661966
2017-08-22,12229.33984375,2452.510009765625,1.3447199140426802,0.9891695260625077
2017-08-23,12174.2998046875,2444.0400390625,-0.4510813401801118,-0.3459570132639007
2017-08-24,12180.830078125,2438.969970703125,0.0536254466752105,-0.20766167471384417
2017-08-25,12167.9404296875,2443.050048828125,-0.10587515815160693,0.16714716689374215
2017-08-28,12123.4697265625,2444.239990234375,-0.3661438551374073,0.04869534732960745
2017-08-29,11945.8798828125,2446.300048828125,-1.47567814936975,0.08424667620097917
2017-08-30,12002.4697265625,2457.590087890625,0.4725999912412231,0.46045317880610437
2017-08-31,12055.83984375,2471.64990234375,0.4436737716681844,0.5704673584713544
2017-09-01,12142.6396484375,2476.550048828125,0.717401909397479,0.1980578042335197
2017-09-05,12123.7099609375,2457.85009765625,-0.15601597804733872,-0.7579458552144929
2017-09-06,12214.5400390625,2465.5400390625,0.7464012393204515,0.31238424931441333
2017-09-07,12296.6298828125,2465.10009765625,0.6698182985904437,-0.017845204485370907
2017-09-08,12303.98046875,2461.429931640625,0.059759380366638255,-0.1489960143457705
2017-09-11,12475.240234375,2488.110107421875,1.382307334494409,1.0780975197147025
2017-09-12,12524.76953125,2496.47998046875,0.39623473863380343,0.3358302594883113
2017-09-13,12553.5703125,2498.3701171875,0.22968660677867375,0.07568342480825294
2017-09-14,12540.4501953125,2495.6201171875,-0.10456768678354961,-0.11013238508279735
2017-09-15,12518.8095703125,2500.22998046875,-0.17271563950431396,0.1845477546159349
2017-09-18,12559.3896484375,2503.8701171875,0.32362860817191164,0.14548619291293302
2017-09-19,12561.7900390625,2506.64990234375,0.019110492916063277,0.11095796167313857
2017-09-20,12569.169921875,2508.239990234375,0.058731405693256,0.0634146702309437
2017-09-21,12600.0302734375,2500.60009765625,0.24522326325648525,-0.3050565946914834
2017-09-22,12592.349609375,2502.219970703125,-0.06097609147056687,0.06475839951670206
2017-09-25,12594.8095703125,2496.659912109375,0.0195334529612615,-0.22245226998538567
2017-09-26,12605.2001953125,2496.840087890625,0.08246525049382918,0.007216412589487934
2017-09-27,12657.41015625,2507.0400390625,0.4133384044186009,0.40768224019879246
2017-09-28,12704.650390625,2510.06005859375,0.37252721575709513,0.12038906289380277
2017-09-29,12828.8603515625,2519.360107421875,0.9729248906030382,0.3698263068498826
2017-10-02,12902.650390625,2529.1201171875,0.5735399065950502,0.3866518829712313
2017-10-04,12970.51953125,2537.739990234375,0.5246307004326284,0.340245484577464
2017-10-05,12968.0498046875,2552.070068359375,-0.01904288966732951,0.563090403129274
2017-10-06,12955.9404296875,2549.330078125,-0.09342216048722149,-0.10742111652397249
2017-10-09,12976.400390625,2544.72998046875,0.15779497365534723,-0.18060638680135568
2017-10-10,12949.25,2550.639892578125,-0.20944817307431016,0.23197196304780643
