Date,Clayton_VaR_99,Clayton_ES_99,Clayton_Weight_SPX,Clayton_Weight_DAX,Clayton_Vol_SPX,Clayton_Vol_DAX,Clayton_Rho,Clayton_Nu_SPX,Clayton_Nu_DAX,Gumbel_VaR_99,Gumbel_ES_99,Gumbel_Weight_SPX,Gumbel_Weight_DAX,Gumbel_Vol_SPX,Gumbel_Vol_DAX,Gumbel_Rho,Gumbel_Nu_SPX,Gumbel_Nu_DAX
2020-01-28,-2.434789084559219,-3.0362396798626032,0.63,0.37,0.9403968405765322,1.191453874592986,0.7196113329163154,5.278767444029365,6.277547950703586,-2.3304057880518565,-2.9679905757563403,0.63,0.37,0.9403968405765322,1.191453874592986,0.7196113329163154,5.278767444029365,6.277547950703586
2020-01-29,-2.3818033440762294,-2.943100561807507,0.63,0.37,0.8744561369452623,1.1663364375840193,0.7196113329163154,5.284175492456403,6.2797760139859715,-2.30551928200843,-2.86485241862808,0.63,0.37,0.8744561369452623,1.1663364375840193,0.7196113329163154,5.284175492456403,6.2797760139859715
2020-01-30,-2.195593559608045,-2.7605172380573886,0.63,0.37,0.8314393269604438,1.1157451276871442,0.7196113329163154,5.277762395207418,6.271011332567934,-2.1472348233511,-2.642262744340455,0.63,0.37,0.8314393269604438,1.1157451276871442,0.7196113329163154,5.277762395207418,6.271011332567934
2020-01-31,-2.204914959009605,-2.7071942251343213,0.63,0.37,0.7770516331311282,1.1620485215047969,0.7196113329163154,5.273066182161597,6.287618819670021,-2.151433112714799,-2.677213540494664,0.63,0.37,0.7770516331311282,1.1620485215047969,0.7196113329163154,5.273066182161597,6.287618819670021
2020-02-03,-2.6662928343352506,-3.390138666594489,0.565716720335883,0.43428327966411695,1.1097050332167682,1.1934064487945717,0.7196113329163154,5.270259119881647,6.303254637768407,-2.5981356070132113,-3.281609582938438,0.565716720335883,0.43428327966411695,1.1097050332167682,1.1934064487945717,0.7196113329163154,5.270259119881647,6.303254637768407
2020-02-04,-2.6214126583172632,-3.2668911924552457,0.6229532151864116,0.37704678481358844,1.0285598553478092,1.1480043597977385,0.7196113329163154,5.268365797697532,6.297427384295901,-2.5459587259827714,-3.154138743364737,0.6229532151864116,0.37704678481358844,1.0285598553478092,1.1480043597977385,0.7196113329163154,5.268365797697532,6.297427384295901
2020-02-05,-2.605961285995853,-3.226070527389947,0.63,0.37,0.9530010571803899,1.2175253554197618,0.7196113329163154,5.277853792667183,6.312032353377818,-2.436443592012151,-3.0589463260520144,0.63,0.37,0.9530010571803899,1.2175253554197618,0.7196113329163154,5.277853792667183,6.312032353377818
2020-02-06,-2.429258006216827,-3.0174710804208025,0.63,0.37,0.884843878997391,1.239199787181237,0.7196113329163154,5.287732699734536,6.324208730904462,-2.366783460719194,-2.8983662792230143,0.63,0.37,0.884843878997391,1.239199787181237,0.7196113329163154,5.287732699734536,6.324208730904462
2020-02-07,-2.314046065357548,-2.82112215692205,0.63,0.37,0.8250207765954217,1.1999820207126448,0.7196113329163154,5.283778911267169,6.3220766151609356,-2.199042416704648,-2.81607183685178,0.63,0.37,0.8250207765954217,1.1999820207126448,0.7196113329163154,5.283778911267169,6.3220766151609356
2020-02-10,-2.2857697700229735,-2.8394242694513103,0.63,0.37,0.8768673130776296,1.158968851934426,0.7196113329163154,5.287864766348073,6.319335214828861,-2.24040811803718,-2.827308705099418,0.63,0.37,0.8768673130776296,1.158968851934426,0.7196113329163154,5.287864766348073,6.319335214828861
2020-02-11,-2.224855448783878,-2.7292975483366644,0.63,0.37,0.8168589954550343,1.111488201285394,0.7196113329163154,5.289609274303378,6.311582007257822,-2.1544472591486845,-2.714507916171145,0.63,0.37,0.8168589954550343,1.111488201285394,0.7196113329163154,5.289609274303378,6.311582007257822
2020-02-12,-2.0809941154047036,-2.6014258413510642,0.63,0.37,0.764231234138436,1.0997718536565988,0.7196113329163154,5.283505103341672,6.317089661986299,-2.0511862884480645,-2.547124461283472,0.63,0.37,0.764231234138436,1.0997718536565988,0.7196113329163154,5.283505103341672,6.317089661986299
