Date,Gaussian_VaR_99,Gaussian_ES_99,Gaussian_Weight_SPX,Gaussian_Weight_DAX,Gaussian_Vol_SPX,Gaussian_Vol_DAX,Gaussian_Rho,Gaussian_Nu_SPX,Gaussian_Nu_DAX,StudentT_VaR_99,StudentT_ES_99,StudentT_Weight_SPX,StudentT_Weight_DAX,StudentT_Vol_SPX,StudentT_Vol_DAX,StudentT_Rho,StudentT_Nu_SPX,StudentT_Nu_DAX
2021-06-10,-1.3802551368574913,-1.5937331617088704,0.7,0.30000000000000004,0.6421616281324847,0.8103370398127777,0.7196113329163154,5.1909815905078345,5.556968015853699,-2.0331723161257442,-2.6439943273723236,0.7,0.30000000000000004,0.6421616281324847,0.8103370398127777,0.7196113329163154,5.1909815905078345,5.556968015853699
2021-06-11,-1.3439610264589679,-1.5472717504881504,0.7,0.30000000000000004,0.604846507092639,0.7838789164723,0.7196113329163154,5.191034457716894,5.550732213433183,-1.9506493056830958,-2.5988273642107713,0.7,0.30000000000000004,0.604846507092639,0.7838789164723,0.7196113329163154,5.191034457716894,5.550732213433183
2021-06-14,-1.2592212417100777,-1.442463888683854,0.7,0.30000000000000004,0.5690963739742705,0.788569438361297,0.7196113329163154,5.187360071318593,5.556577771671259,-1.8518419572367568,-2.451912117223398,0.7,0.30000000000000004,0.5690963739742705,0.788569438361297,0.7196113329163154,5.187360071318593,5.556577771671259
2021-06-15,-1.1950299553426014,-1.378924456245964,0.7,0.30000000000000004,0.5358402828545318,0.7650904160213904,0.7196113329163154,5.1831902439258695,5.551081282143209,-1.8056997385908076,-2.3153222946919416,0.7,0.30000000000000004,0.5358402828545318,0.7650904160213904,0.7196113329163154,5.1831902439258695,5.551081282143209
2021-06-16,-1.1953023361661543,-1.3696692350842903,0.7,0.30000000000000004,0.5504546879725201,0.7451316141291975,0.7196113329163154,5.183379890594641,5.5459456968116845,-1.7710469821113428,-2.3167147285240235,0.7,0.30000000000000004,0.5504546879725201,0.7451316141291975,0.7196113329163154,5.183379890594641,5.5459456968116845
2021-06-17,-1.2965796637251807,-1.4905691107331156,0.7,0.30000000000000004,0.63568051080059,0.7244555962812544,0.7196113329163154,5.192831676402992,5.54092729086762,-1.935764436117925,-2.56795532810184,0.7,0.30000000000000004,0.63568051080059,0.7244555962812544,0.7196113329163154,5.192831676402992,5.54092729086762
2021-06-18,-1.3125262922931522,-1.4972300507827956,0.7,0.30000000000000004,0.623217347512073,0.7021807535607527,0.7196113329163154,5.189762049545949,5.53314971374002,-1.8897748602698827,-2.4616521654754986,0.7,0.30000000000000004,0.623217347512073,0.7021807535607527,0.7196113329163154,5.189762049545949,5.53314971374002
2021-06-21,-1.692759249428151,-1.970850655248712,0.5517372892593563,0.4482627107406437,0.8732430681688212,0.8989852525041198,0.7196113329163154,5.1878506519622904,5.523612480126979,-2.493142598276499,-3.307959287166052,0.5517372892593563,0.4482627107406437,0.8732430681688212,0.8989852525041198,0.7196113329163154,5.1878506519622904,5.523612480126979
2021-06-22,-1.768708200631298,-2.056514767381159,0.6819892340617261,0.31801076593827393,0.8210267272165127,0.9108591307620221,0.7196113329163154,5.194786851651309,5.531310489138591,-2.6151862581128844,-3.3966350419753297,0.6819892340617261,0.31801076593827393,0.8210267272165127,0.9108591307620221,0.7196113329163154,5.194786851651309,5.531310489138591
2021-06-23,-1.666875921560982,-1.8983392681614055,0.7,0.30000000000000004,0.7693606177815497,0.8775383037078974,0.7196113329163154,5.196046119468558,5.524952226370022,-2.365581127325562,-3.0635545537748885,0.7,0.30000000000000004,0.7693606177815497,0.8775383037078974,0.7196113329163154,5.196046119468558,5.524952226370022
