Date,Gaussian_VaR,Gaussian_ES,Gaussian_wSPX,Gaussian_wDAX,Gaussian_volSPX,Gaussian_volDAX,StudentT_VaR,StudentT_ES,StudentT_wSPX,StudentT_wDAX,StudentT_volSPX,StudentT_volDAX,Clayton_VaR,Clayton_ES,Clayton_wSPX,Clayton_wDAX,Clayton_volSPX,Clayton_volDAX,Gumbel_VaR,Gumbel_ES,Gumbel_wSPX,Gumbel_wDAX,Gumbel_volSPX,Gumbel_volDAX
2020-02-12,-2.273363,-2.751007,0.700000,0.300000,0.538105,0.648897,-2.420852,-2.905169,0.700000,0.300000,0.538105,0.648897,-2.527814,-3.074846,0.700000,0.300000,0.538105,0.648897,-2.038494,-2.426366,0.700000,0.300000,0.538105,0.648897
2020-02-13,-2.133873,-2.555583,0.700000,0.300000,0.491056,0.632770,-2.277666,-2.732588,0.700000,0.300000,0.491056,0.632770,-2.358080,-2.886045,0.700000,0.300000,0.491056,0.632770,-1.883148,-2.245932,0.700000,0.300000,0.491056,0.632770
2020-02-14,-1.947503,-2.375778,0.700000,0.300000,0.461929,0.571333,-2.119971,-2.514305,0.700000,0.300000,0.461929,0.571333,-2.124212,-2.585091,0.700000,0.300000,0.461929,0.571333,-1.724893,-2.047014,0.700000,0.300000,0.461929,0.571333
2020-02-18,-1.829477,-2.232123,0.700000,0.300000,0.429195,0.520289,-1.932295,-2.336679,0.700000,0.300000,0.429195,0.520289,-1.967102,-2.395104,0.700000,0.300000,0.429195,0.520289,-1.605221,-1.902450,0.700000,0.300000,0.429195,0.520289
2020-02-19,-1.826634,-2.224013,0.683493,0.316507,0.437575,0.505487,-1.912845,-2.346416,0.700000,0.300000,0.437575,0.505487,-1.961558,-2.413178,0.676893,0.323107,0.437575,0.505487,-1.583921,-1.862421,0.667598,0.332402,0.437575,0.505487
2020-02-20,-1.759307,-2.134448,0.700000,0.300000,0.409498,0.511536,-1.888338,-2.279783,0.700000,0.300000,0.409498,0.511536,-1.919788,-2.323887,0.700000,0.300000,0.409498,0.511536,-1.545511,-1.839053,0.700000,0.300000,0.409498,0.511536
2020-02-21,-1.876284,-2.278974,0.700000,0.300000,0.438319,0.559039,-2.004174,-2.414077,0.700000,0.300000,0.438319,0.559039,-2.047897,-2.466147,0.700000,0.300000,0.438319,0.559039,-1.638025,-1.932483,0.700000,0.300000,0.438319,0.559039
2020-02-24,-2.309633,-2.789959,0.300000,0.700000,0.699139,0.552569,-2.451454,-3.000336,0.300000,0.700000,0.699139,0.552569,-2.482728,-3.026331,0.300000,0.700000,0.699139,0.552569,-2.021180,-2.405162,0.300000,0.700000,0.699139,0.552569
2020-02-25,-5.913321,-7.006255,0.300000,0.700000,1.871224,1.358860,-6.350229,-7.720930,0.300000,0.700000,1.871224,1.358860,-6.393361,-7.843238,0.300000,0.700000,1.871224,1.358860,-5.056345,-5.932087,0.300000,0.700000,1.871224,1.358860
2020-02-26,-6.301593,-7.648704,0.300000,0.700000,2.345058,1.332759,-6.913234,-8.338883,0.300000,0.700000,2.345058,1.332759,-6.959539,-8.406921,0.300000,0.700000,2.345058,1.332759,-5.384423,-6.364175,0.300000,0.700000,2.345058,1.332759
2020-02-27,-5.551115,-6.742479,0.300000,0.700000,2.057736,1.163423,-5.935590,-7.262786,0.300000,0.700000,2.057736,1.163423,-6.069787,-7.496193,0.300000,0.700000,2.057736,1.163423,-4.772157,-5.575110,0.300000,0.700000,2.057736,1.163423
2020-02-28,-7.419795,-8.888611,0.300000,0.700000,2.925784,1.441175,-7.870524,-9.518113,0.300000,0.700000,2.925784,1.441175,-8.131293,-9.916466,0.300000,0.700000,2.925784,1.441175,-6.299480,-7.370990,0.300000,0.700000,2.925784,1.441175
2020-03-02,-7.813076,-9.507554,0.300000,0.700000,2.603272,1.769053,-8.488193,-10.348421,0.300000,0.700000,2.603272,1.769053,-8.655347,-10.484824,0.300000,0.700000,2.603272,1.769053,-6.819955,-8.000868,0.300000,0.700000,2.603272,1.769053
2020-03-03,-6.807154,-8.217829,0.300000,0.700000,2.265575,1.539561,-7.182380,-8.766501,0.300000,0.700000,2.265575,1.539561,-7.549825,-9.226573,0.300000,0.700000,2.265575,1.539561,-5.887427,-6.940648,0.300000,0.700000,2.265575,1.539561
2020-03-04,-6.625029,-7.947894,0.300000,0.700000,2.367068,1.374291,-7.037708,-8.379627,0.300000,0.700000,2.367068,1.374291,-7.293379,-9.016925,0.300000,0.700000,2.367068,1.374291,-5.519905,-6.434332,0.300000,0.700000,2.367068,1.374291
2020-03-05,-5.736191,-6.907044,0.300000,0.700000,2.058877,1.245429,-6.129104,-7.471547,0.300000,0.700000,2.058877,1.245429,-6.524434,-7.934152,0.300000,0.700000,2.058877,1.245429,-4.948057,-5.713503,0.300000,0.700000,2.058877,1.245429
2020-03-06,-6.181335,-7.378970,0.300000,0.700000,2.420746,1.195164,-6.551588,-7.879410,0.300000,0.700000,2.420746,1.195164,-6.839390,-8.381507,0.300000,0.700000,2.420746,1.195164,-5.157151,-6.069343,0.300000,0.700000,2.420746,1.195164
2020-03-09,-6.868315,-8.208341,0.300000,0.700000,2.333500,1.504264,-7.238081,-8.680972,0.300000,0.700000,2.333500,1.504264,-7.685643,-9.230619,0.300000,0.700000,2.333500,1.504264,-5.782714,-6.797176,0.300000,0.700000,2.333500,1.504264
2020-03-10,-13.636582,-16.358275,0.300000,0.700000,4.566170,2.927888,-14.518037,-17.787601,0.300000,0.700000,4.566170,2.927888,-14.823641,-17.983458,0.300000,0.700000,4.566170,2.927888,-11.451962,-13.363001,0.300000,0.700000,4.566170,2.927888
2020-03-11,-11.687400,-13.960774,0.300000,0.700000,3.957720,2.577917,-12.567676,-15.099139,0.300000,0.700000,3.957720,2.577917,-12.687070,-15.413915,0.300000,0.700000,3.957720,2.577917,-10.127749,-11.924021,0.300000,0.700000,3.957720,2.577917
2020-03-12,-11.059285,-13.394809,0.300000,0.700000,4.191708,2.235654,-11.650806,-14.219663,0.300000,0.700000,4.191708,2.235654,-12.103717,-14.788868,0.300000,0.700000,4.191708,2.235654,-9.395154,-11.052680,0.300000,0.700000,4.191708,2.235654
2020-03-13,-20.558075,-24.754939,0.300000,0.700000,6.424659,4.618358,-21.953479,-26.595794,0.300000,0.700000,6.424659,4.618358,-22.366058,-27.260419,0.300000,0.700000,6.424659,4.618358,-17.822330,-20.811054,0.300000,0.700000,6.424659,4.618358
2020-03-16,-17.599204,-21.104926,0.300000,0.700000,5.573791,3.994571,-18.749498,-22.737572,0.300000,0.700000,5.573791,3.994571,-19.573016,-23.814076,0.300000,0.700000,5.573791,3.994571,-15.339236,-18.144924,0.300000,0.700000,5.573791,3.994571
2020-03-17,-20.298140,-24.295459,0.300000,0.700000,7.913241,3.887719,-21.635019,-26.085919,0.300000,0.700000,7.913241,3.887719,-22.290033,-27.554123,0.300000,0.700000,7.913241,3.887719,-16.871435,-19.771761,0.300000,0.700000,7.913241,3.887719
2020-03-18,-17.813678,-21.492031,0.300000,0.700000,6.845898,3.432196,-18.782597,-22.791764,0.300000,0.700000,6.845898,3.432196,-19.705822,-24.178313,0.300000,0.700000,6.845898,3.432196,-14.977477,-17.489244,0.300000,0.700000,6.845898,3.432196
2020-03-19,-17.234515,-20.667476,0.300000,0.700000,6.450513,3.504685,-18.568511,-22.347010,0.300000,0.700000,6.450513,3.504685,-19.077570,-23.360072,0.300000,0.700000,6.450513,3.504685,-14.623038,-17.227632,0.300000,0.700000,6.450513,3.504685
2020-03-20,-15.092500,-18.278749,0.300000,0.700000,5.578223,3.093219,-16.279432,-19.464441,0.300000,0.700000,5.578223,3.093219,-16.769781,-20.460982,0.300000,0.700000,5.578223,3.093219,-12.805047,-14.890733,0.300000,0.700000,5.578223,3.093219
2020-03-23,-14.337858,-17.203884,0.300000,0.700000,5.339578,2.908170,-15.473266,-18.560293,0.300000,0.700000,5.339578,2.908170,-15.727041,-19.312108,0.300000,0.700000,5.339578,2.908170,-12.017693,-14.179215,0.300000,0.700000,5.339578,2.908170
2020-03-24,-13.117150,-15.676579,0.300000,0.700000,4.927228,2.616451,-13.814348,-16.586587,0.300000,0.700000,4.927228,2.616451,-14.454601,-17.284944,0.300000,0.700000,4.927228,2.616451,-11.122406,-12.837119,0.300000,0.700000,4.927228,2.616451
2020-03-25,-16.037903,-19.343323,0.412430,0.587570,4.272917,3.993553,-17.286848,-20.981034,0.323184,0.676816,4.272917,3.993553,-17.739978,-21.638214,0.415643,0.584357,4.272917,3.993553,-13.815876,-15.993973,0.420161,0.579839,4.272917,3.993553
2020-03-26,-14.078034,-16.800982,0.426122,0.573878,3.702705,3.497701,-14.979954,-18.263860,0.350569,0.649431,3.702705,3.497701,-15.696288,-18.916038,0.428838,0.571162,3.702705,3.497701,-12.089236,-14.059090,0.432655,0.567345,3.702705,3.497701
2020-03-27,-12.267935,-14.682211,0.434270,0.565730,3.210636,3.052107,-13.309183,-16.000386,0.366929,0.633071,3.210636,3.052107,-13.651815,-16.701540,0.436688,0.563312,3.210636,3.052107,-10.485172,-12.145532,0.440087,0.559913,3.210636,3.052107
2020-03-30,-11.801583,-14.444082,0.380931,0.619069,3.195060,2.913221,-12.793491,-15.372777,0.300000,0.700000,3.195060,2.913221,-12.917883,-15.838089,0.385279,0.614721,3.195060,2.913221,-10.259799,-11.969780,0.391395,0.608605,3.195060,2.913221
2020-03-31,-10.499516,-12.507248,0.412413,0.587587,2.770709,2.589526,-11.143144,-13.338725,0.323152,0.676848,2.770709,2.589526,-11.424106,-13.917238,0.415627,0.584373,2.770709,2.589526,-8.918843,-10.549141,0.420146,0.579854,2.770709,2.589526
2020-04-01,-9.139047,-11.150577,0.370463,0.629537,2.516115,2.275205,-9.894319,-11.994523,0.300000,0.700000,2.516115,2.275205,-10.221864,-12.558499,0.375184,0.624816,2.516115,2.275205,-8.041200,-9.513294,0.381825,0.618175,2.516115,2.275205
2020-04-02,-10.405554,-12.644494,0.300000,0.700000,3.235706,2.363797,-11.203008,-13.458224,0.300000,0.700000,3.235706,2.363797,-11.190929,-13.749708,0.300000,0.700000,3.235706,2.363797,-9.022589,-10.539418,0.300000,0.700000,3.235706,2.363797
2020-04-03,-9.052489,-10.974649,0.300000,0.700000,2.806218,2.053976,-9.601909,-11.589417,0.300000,0.700000,2.806218,2.053976,-9.851048,-11.818844,0.300000,0.700000,2.806218,2.053976,-7.742229,-9.096675,0.300000,0.700000,2.806218,2.053976
2020-04-06,-7.980392,-9.802444,0.300000,0.700000,2.542975,1.795322,-8.725075,-10.505642,0.300000,0.700000,2.542975,1.795322,-8.753047,-10.566462,0.300000,0.700000,2.542975,1.795322,-6.817301,-7.993333,0.300000,0.700000,2.542975,1.795322
2020-04-07,-8.987235,-10.943651,0.576668,0.423332,2.205529,2.339864,-9.511772,-11.460215,0.655023,0.344977,2.205529,2.339864,-9.903688,-12.130868,0.573851,0.426149,2.205529,2.339864,-7.645177,-8.981236,0.569891,0.430109,2.205529,2.339864
